path,added,source
/?page_id=165,11/5/25,crawl 404
/ada-grievances/?emrc=63cf0317b8336,11/5/25,crawl 404
/ada-grievances/?emrc=63cf1d655f312,11/5/25,crawl 404
/blog/category/faq/page/14/,11/5/25,crawl 404
/blog/may-i-submit-a-federal-project-approval-document-advanced-planning-document-in-lieu-of-a-project-approval-lifecycle-stagegate-deliverable-if-the-project-is-being-mandated-andor-federally-funded/,11/5/25,crawl 404
/blog/when-can-the-primary-contract-be-awarded-to-the-selected-vendor/,11/5/25,crawl 404
/cybersecurity-boot-camp/,11/5/25,crawl 404
/cybersecurity-boot-camp/?emrc=63cf75483b9a9,11/5/25,crawl 404
/dwsn-old/conference-photos/,11/5/25,crawl 404
/emerging-it-leaders-boot-camp/,11/5/25,crawl 404
/emerging-it-leaders-boot-camp/?emrc=63cf4a4a18671,11/5/25,crawl 404
/event/california-broadband-council-hybrid/,11/5/25,crawl 404
/event/digital-web-services-network/,11/5/25,crawl 404
/event/dwsn-forum/,11/5/25,crawl 404
/event/middle-mile-advisory-committee-meeting-hybrid/,11/5/25,crawl 404
/event/middle-mile-advisory-council-meeting-hybrid/,11/5/25,crawl 404
/events-2/category/broadband-for-all/today/,11/5/25,crawl 404
/events/calendar/category/aic-artificial-intelligence-community/day/2025-03-05/,11/5/25,crawl 404
/events/calendar/category/project-delivery/month/,11/5/25,crawl 404
/events/event/ai-community/,11/5/25,crawl 404
/events/event/dwsn-forum-3/,11/5/25,crawl 404
/events/event/permitting-planning-roundtable/,11/5/25,crawl 404
/news/california-broadband-for-all-announcement-event/,11/5/25,crawl 404
/newsroom/2021/07/oets-digital-vaccine-record-already-serving-more-than-1-million/:봐봐,11/5/25,crawl 404
/newsroom/adler32,11/5/25,crawl 404
/newsroom/california-department-of-technology-and-karuk-tribe-partner-to-close-the-digital-divide/,11/5/25,crawl 404
/newsroom/cdt-connect-otech-edition/page/2/inffast,11/5/25,crawl 404
/newsroom/cdt-connect-otech-edition/page/2/lib/inflate,11/5/25,crawl 404
/newsroom/cdt-connect-otech-edition/page/2/lib/utils/common,11/5/25,crawl 404
/newsroom/cdt-connect-otech-edition/page/2/trees,11/5/25,crawl 404
/newsroom/inftrees,11/5/25,crawl 404
/newsroom/newsroom-home/,11/5/25,crawl 404
/newsroom/page/4/zlib/messages,11/5/25,crawl 404
/newsroom/page/8/zlib/zstream,11/5/25,crawl 404
/newsroom/public-records-request/,11/5/25,crawl 404
/newsroom/wp-content/themes/CAWeb/src/images/system/bear.ico,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2021/04/statescoop-vote-amy-vitaliy.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2021/07/rick-klau-quote.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2021/08/cdt-appointment.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2021/11/amy-first-steps-and-gratitude.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2022/07/broadband-update-sm.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2022/07/calnet-graphic.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2022/10/spotlight.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2022/11/middle-mile-update-new.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2022/11/vitaliy-headshot-landscape.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2023/02/tmf-updates.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2023/05/liana-bailey-crimmins-cdt-connect.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2023/12/ovation-award-members-400x250.jpg,11/5/25,crawl 404
/newsroom/wp-content/uploads/sites/316/2023/12/statewide-IT-annual-report-400x250.jpg,11/5/25,crawl 404
/newsroom/zlib/gzheader,11/5/25,crawl 404
/policy/sam-simm-history/summary-of-changes-to-the-statewide-information-management-manual-simm-25b/,11/5/25,crawl 404
/policy/sam-simm-history/summary-of-changes-to-the-statewide-information-management-manual-simm-5360-c/,11/5/25,crawl 404
/projectresources/feed/,11/5/25,crawl 404
/projectresources/wp-content/uploads/sites/4/2017/04/CA_Project-Management-Framework.pdf,11/5/25,crawl 404
/security/adler32,11/5/25,crawl 404
/security/lib/inflate,11/5/25,crawl 404
/services/calnet-services/how-to-order/add-link-here,11/5/25,crawl 404
/services/calnet-stmm-2/,11/5/25,crawl 404
/services/it-consulting/?emrc=63cfc946e6ab8,11/5/25,crawl 404
/services/office-of-enterprise-architecture/ceaf-views/,11/5/25,crawl 404
/services/wp-content/et-cache/1/2/328160/et-divi-dynamic-328160-late.css,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2021/12/CALNET-Red-River-Technology-DNCS-ATO.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2023/03/CALNET-2.a.-NWN-IFB-C4DNCS19-Cat-20-SOW-Tech-Req_AM-6_Final_A11Y.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2023/09/CALNET_Form-20_20230504_A11Y.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2024/07/CALNET-TeamSOS-C4-DNCS-CAT30-TechSOW-AM18-A11Y.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2025/02/CALNET-Verizon-19.2-ATO-Form-A11Y.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2025/03/CALNET-TeamSOS-DNCS-ATO-Form-A11Y.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/2025/04/CALNET-NextGen-Category-List-Image.png,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/caweb-ext/css/search-results-services-v1.css?ver=1.13.3,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/02/O365_User_Forum_05-25-17_slides.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/03/CALNET-ordering-forms-nsagree.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/03/Mobile-Afaria-Features.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/03/RACF-Remedy-template-instructions-OTECH258.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/03/VPS-Printer-Request-Form-379.xlsx,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2017/07/IaaS-PaaS-Contract-1-17-70-50A-JHC-Technology.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2018/07/CALNET-ordering-C3-user-instructions-IFB-A-r3.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/05/CALNET-policy-stmm-030001.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/08/CALNET-ATT-19.1-ATO-Form-1.13.2021-v2-JWv2.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/09/CALNET-07-ATT-Technical-SOW.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/09/CALNET-3-IFB-A-Data-Dictionary.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/09/CALNET-3-IFB-B-Business-Requirements.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/09/CALNET-IFB-CELL-Glossary.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/10/CALNET-IFB-A-ATT-Amendment-11.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/10/CALNET-IFB-A-Zayo-Amendment-02.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2019/11/CALNET-1.-IFB-C4A1LEG18-Part-1-Addm-7-180621.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2020/10/CA-Enterprise-Architecture-Framework-Portfolio.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2021/03/CALNET-C4DNCS19-Granite-Cat-30-STD-213A-Attach-1-R-LH-v2-1.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2021/03/CALNET-ENA-VoIP-STD-213-signed_RKO1.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2021/06/CALNET-Sprint-Am3-213A_Attachment-and-Summary-KO1.pdf,11/5/25,crawl 404
/services/wp-content/uploads/sites/2/sites/2/2021/12/CALNET-C3_IFB-B_213A_Verizon_AM-19-KO1.pdf,11/5/25,crawl 404
/theme/sandwell2015/images/favicon1.ico,11/5/25,crawl 404
/tmf/technology-modernization-fund/application-process/,11/5/25,crawl 404
/tmf/technology-modernization-fund/contact-us/,11/5/25,crawl 404
/tmf/technology-modernization-fund/our-investments/laboratory-information-management-system/,11/5/25,crawl 404
/what-if-an-agencystate-entity-does-not-have-enough-funding-to-perform-the-analysis-andor-preparation-of-project-approval-lifecycle-stagegate-deliverables/,11/5/25,crawl 404
/workforce-development/future-course-offerings/,11/5/25,crawl 404
/workforce-development/information-technology-leadership-academy/itla-application/,11/5/25,crawl 404
/wp-content/et-cache/1/1/search/et-divi-dynamic.css?ver=1758369451,11/5/25,crawl 404
/wp-content/themes/CAWeb/dist/caweb-core.css?ver=1.10.6a,11/5/25,crawl 404
/wp-content/uploads/2017/08/A.5-Agency-State-Entity-Portfolio-Report.xlsx,11/5/25,crawl 404
/wp-content/uploads/2018/01/SIMM-5305_A_2018-0108.pdf,11/5/25,crawl 404
/wp-content/uploads/2018/01/SIMM-5310_A_2018-0108.pdf,11/5/25,crawl 404
/wp-content/uploads/2018/01/SIMM-5310_A.pdf,11/5/25,crawl 404
/wp-content/uploads/2018/02/SIMM-5330_C_03-2019_CURRENT.pdf,11/5/25,crawl 404
/wp-content/uploads/2019/07/D.4-Gate-4-Collaborative-Review-Guidelines.pdf,11/5/25,crawl 404
/wp-content/uploads/2020/01/SIMM-130-Workgroup-Collaboration-Platform-Guidelines.pdf?emrc=b0b4fa,11/5/25,crawl 404
/wp-content/uploads/2020/10/SIMM5320-A-Phishing-Exercise-Standard_2020-0930.pdf,11/5/25,crawl 404
/wp-content/uploads/2021/02/ISA-Phase_II_CND_Preparedness_Guide.pdf,11/5/25,crawl 404
/wp-content/uploads/2021/02/SIMM_5340-C-1.pdf,11/6/25,crawl 404
/wp-content/uploads/2021/04/SIMM5345-A-Vulnerability_2021-0407_PT.pdf,11/5/25,crawl 404
/wp-content/uploads/2022/07/SIMM-5340-C_July-2022.pdf?emrc=63cf02ccd5e37,11/5/25,crawl 404
/wp-content/uploads/2023/10/CDT-ORG-Chart-11-2023.pdf,11/5/25,crawl 404
/wp-content/uploads/2023/10/SIMM-5305-F-Generative-Artificial-Intelligence-Risk-Assessment-20240626.pdf,11/5/25,crawl 404
/wp-content/uploads/2023/10/SIMM-5330-C.pdf,11/5/25,crawl 404
/wp-content/uploads/2023/10/word/media/image1.png,11/5/25,crawl 404
/wp-content/uploads/2023/12/SIMM-5305_A_2023-12.pdf,11/5/25,crawl 404
/wp-content/uploads/2025/01/SIMM-5305-F-GenAI-Risk-Assessment-2025_0131-final.pdf,11/5/25,crawl 404
/wp-content/uploads/2025/02/SIMM-5305-F-Generative-Artificial-Intelligence-Risk-Assessment-20250211-FINAL.pdf,11/5/25,crawl 404
/wp-content/uploads/2025/07/SIMM-5305-A-Information-Security-Program-Management-Standard-20250806-FINAL.pdf,11/5/25,crawl 404